review,label,score
"Tempatnya strategis, pengajarnya juga berkualitas. Ada permainan juga buat si kecil jd ga perlu takut karena si kecil ga akan bosan. Program kurikulumnya jg sangat membantu anak biar cepat paham. Sukses terus lah buat cakap",POSITIVE,0.9987590312957764
"Selain pengajarnya yg ramah, tempatnya jg nyaman buat anak2.. anak saya senang blajar dsni ????",POSITIVE,0.9988915324211121
Tempat belajar terfavorit dan pastinya nyaman banget anak2 sangat suka belajar disini ditambah lagi pengajar nya yg sangat sabar dan profesional ????,POSITIVE,0.9994009733200073
Tempat terbaik buat anak2 belajar bahasa inggris Fasilitas lengkap. Banyak aktivitasnya juga. Guru nya baik dan ramah Anak ku suka belajar disini,POSITIVE,0.9993513226509094
"Tempatnya bagus, Nyaman buat anak-anak belajar, Teacher nya baik dan ramah, Rekomendasi banget pokoknya, Sukses buat cakap kids academy????",POSITIVE,0.9990881681442261
"Tempat nyaman banget, terus guru yang mengajar nya profesional, mantabbb lah cakap kids academy??????",POSITIVE,0.9986588954925537
Asyik banget belajar di cakap kids academy tempatnya nyaman bersih menyenangkan sekali ??,POSITIVE,0.9992467164993286
Anak saya sangat senang belajar disini karna tempatnya nyaman dan pengajar nya juga baik,POSITIVE,0.999299168586731
Tempat nyaman banget bersih.. pengajarnya sangat profesional,POSITIVE,0.9994202852249146
"Tempat les terbaik buat anak. Guruny ramah2, lokasi jg enak ga macet2an",POSITIVE,0.9991027116775513
Seneng banget belajar disini tempatnya bersih nyaman banget dapet guru yg sabar,POSITIVE,0.9990563988685608
Pengajar cakap sangat sabar dan ramah membuat anak2 cepat memahami pelajaran,POSITIVE,0.9978498220443726
Menyenangkan sekali les di cakap tempat nya sangat nyaman dan bersih,POSITIVE,0.9994303584098816
Akhirnya ada cakap Tempat les yang nyaman dan sangat dekat dr rumah sya,POSITIVE,0.9882699251174927
seneng banget belajar dsni tempat nya nyaman dan guru nya sangat sabar dalam belajar,POSITIVE,0.9992406368255615
"Tempat nya nyaman, bersih dan enak.. Pengajar nya jg sabar dan ramah",POSITIVE,0.9986135959625244
Sangat seneng belajar disini tempatnya nyaman dan gurunya ramah,POSITIVE,0.9993478655815125
"Lokasi strategis cocok bgt buat anak belajar, teachernya ramah",POSITIVE,0.9992971420288086
seneng banget belajar disini tempatnya enak nyaman gurunya juga ramah ramah,POSITIVE,0.9992319345474243
Tempat les yg sangat nyaman dan aman buat anak,POSITIVE,0.9994012117385864
seneng banget belajar disini tempat nya nyaman rapih dan bersih,POSITIVE,0.9992702603340149
Anakku sangat senang les dicakap karna gurunya sangat ramah,POSITIVE,0.9988003969192505
akhirnya menemukan tempat les yang bener2 nyaman,POSITIVE,0.9974864721298218
Ada banyak course menarik yang bikin si kecil makin hebat,POSITIVE,0.9963271021842957
Tempat nya bagus bersih?? gurunya sangat profesional,POSITIVE,0.9987874627113342
Gurunya cantik profesional banget baik dalam mengajar,POSITIVE,0.9890670776367188
"Pelayanan ramah, tempat parkir banyak. Dan harga cukup terjangkau.",POSITIVE,0.9959239959716797
Guru nya ramah ramah Profesional Banget,POSITIVE,0.5199784636497498
Tempat belajar yg sangat nyaman,POSITIVE,0.9991418123245239
Guru nya sangat profesional sekali,POSITIVE,0.9921411275863647
Gurunya baik ramah sangat profesional,NEGATIVE,0.6459318399429321
Pengajar nya hebat dan tempatnya sangat nyaman,POSITIVE,0.9990981817245483
pengajar nya hebat sangat sabar dan profesional,POSITIVE,0.999151349067688
Cakap top..  Pengajarnya sangat profesional,POSITIVE,0.9986421465873718
nyaman sekali tempat les ini,POSITIVE,0.9990516304969788
"Tempat nya nyaman dan bersih,gurunya profesional",POSITIVE,0.998663067817688
Dapet guru yg sangat profesional,POSITIVE,0.9933833479881287
Tempat belajar yang sangat nyaman,POSITIVE,0.9990932941436768
Gurunya sangat ramah dan profesional,POSITIVE,0.9914844632148743
Pengajar nya sabar dan sangat profesional,POSITIVE,0.9977479577064514
Tempat les yang sangat nyaman,POSITIVE,0.999118983745575
tempat belajar yg sangat nyaman,POSITIVE,0.9991956353187561
guru nya profesional,POSITIVE,0.9869913458824158
Tempat nyaman,POSITIVE,0.9993126392364502
Senang sekali rasanya mempunyai guru yang sangat sabar seperti yang dikatakan,POSITIVE,0.9845144152641296
